GEOID,NAME,pop,asian,chinese,ch_pct,NEAR_DIST,LOCALE,STATEFP,LOC_NAME,taiwan,cmb_asian,cmb_chns,Shape_Length,Shape_Area
42049000100,Census Tract 1; Erie County; Pennsylvania,1529,12,0,0,0.6,13,42,Small City,0,12,0,0.036819051387640,0.000081002234293
42049001800,Census Tract 18; Erie County; Pennsylvania,1985,83,0,0,0.8,13,42,Small City,0,89,0,0.038016493337548,0.000067816713029
42101025400,Census Tract 254; Philadelphia County; Pennsylvania,3829,33,0,0,0.7,11,42,Large City,0,33,0,0.038243772186165,0.000081806900240
42043021600,Census Tract 216; Dauphin County; Pennsylvania,3366,42,0,0,1.1,13,42,Small City,0,149,0,0.050444115792064,0.000073053076491
42101018802,Census Tract 188.02; Philadelphia County; Pennsylvania,4273,0,0,0,0.1,11,42,Large City,0,0,0,0.021037299719771,0.000026621273946
42003010301,Census Tract 103.01; Allegheny County; Pennsylvania,1889,0,0,0,0.6,11,42,Large City,0,0,0,0.051769437830843,0.000052963994467
42103950805,Census Tract 9508.05; Pike County; Pennsylvania,2462,45,0,0,6.6,42,42,Distant Rural,0,90,0,0.198323952519394,0.001211847534881
42003981100,Census Tract 9811; Allegheny County; Pennsylvania,0,0,0,0,1.1,11,42,Large City,0,0,0,0.043600648837900,0.000093442654124
42095016300,Census Tract 163; Northampton County; Pennsylvania,2968,0,0,0,1.0,21,42,Large Suburban,0,4,4,0.060116860048324,0.000201580362383
42045403702,Census Tract 4037.02; Delaware County; Pennsylvania,2239,0,0,0,1.5,21,42,Large Suburban,0,5,0,0.076702264188026,0.000306405771022
42045402400,Census Tract 4024; Delaware County; Pennsylvania,3175,22,0,0,0.1,21,42,Large Suburban,0,22,0,0.041539134660180,0.000052322780685
42007604100,Census Tract 6041; Beaver County; Pennsylvania,2901,0,0,0,2.4,21,42,Large Suburban,0,86,0,0.062905173931125,0.000192459282553
42003522000,Census Tract 5220; Allegheny County; Pennsylvania,3065,0,0,0,2.2,21,42,Large Suburban,0,0,0,0.084546653999799,0.000135490843428
42003459202,Census Tract 4592.02; Allegheny County; Pennsylvania,672,2,0,0,2.6,21,42,Large Suburban,0,2,0,0.017688260765084,0.000019566230929
42003475303,Census Tract 4753.03; Allegheny County; Pennsylvania,4301,16,0,0,2.2,21,42,Large Suburban,0,70,9,0.084797920329500,0.000328151289914
42003492900,Census Tract 4929; Allegheny County; Pennsylvania,1613,0,0,0,0.7,21,42,Large Suburban,0,0,0,0.059272741576921,0.000178998076089
42003435000,Census Tract 4350; Allegheny County; Pennsylvania,2458,5,0,0,0.2,21,42,Large Suburban,0,17,0,0.064423944382976,0.000191195323472
42009960300,Census Tract 9603; Bedford County; Pennsylvania,4951,0,0,0,17.1,42,42,Distant Rural,0,0,0,0.570375275211318,0.017518714780588
42107002400,Census Tract 24; Schuylkill County; Pennsylvania,2124,0,0,0,5.6,41,42,Fringe Rural,0,10,10,0.408977817942061,0.008196127402857
42129800100,Census Tract 8001; Westmoreland County; Pennsylvania,1009,0,0,0,1.4,21,42,Large Suburban,0,0,0,0.044962914986000,0.000103175963396
42071011503,Census Tract 115.03; Lancaster County; Pennsylvania,4072,325,0,0,1.7,21,42,Large Suburban,0,374,0,0.101680183897087,0.000537643694063
42125773100,Census Tract 7731; Washington County; Pennsylvania,2921,0,0,0,0.9,41,42,Fringe Rural,0,0,0,0.137911801467156,0.000495001903810
42079201100,Census Tract 2011; Luzerne County; Pennsylvania,1456,0,0,0,1.0,13,42,Small City,0,0,0,0.025548228367243,0.000038714985680
42051262300,Census Tract 2623; Fayette County; Pennsylvania,3457,0,0,0,1.2,32,42,Distant Town,0,0,0,0.068258726017977,0.000191764202655
42079200800,Census Tract 2008; Luzerne County; Pennsylvania,3666,166,0,0,1.0,13,42,Small City,0,184,0,0.039846080167218,0.000099499389041
42081000900,Census Tract 9; Lycoming County; Pennsylvania,2135,0,0,0,1.7,13,42,Small City,0,0,0,0.136477408403808,0.000715350511586
42011002700,Census Tract 27; Berks County; Pennsylvania,2218,35,0,0,1.3,13,42,Small City,0,43,0,0.086122390164095,0.000148137699562
42085033300,Census Tract 333; Mercer County; Pennsylvania,2906,17,0,0,3.0,41,42,Fringe Rural,0,17,0,0.149088485120053,0.000675860971873
42091203602,Census Tract 2036.02; Montgomery County; Pennsylvania,4143,27,0,0,0.3,21,42,Large Suburban,0,42,0,0.051957418037311,0.000116285132605
42069101600,Census Tract 1016; Lackawanna County; Pennsylvania,2456,155,0,0,0.6,13,42,Small City,0,155,0,0.032552108983955,0.000061270630405
42017100408,Census Tract 1004.08; Bucks County; Pennsylvania,6553,55,0,0,1.3,21,42,Large Suburban,0,106,0,0.071985921491434,0.000326626560073
42091207300,Census Tract 2073; Montgomery County; Pennsylvania,2716,18,0,0,0.4,21,42,Large Suburban,0,35,0,0.072620121437229,0.000130898565685
42091204007,Census Tract 2040.07; Montgomery County; Pennsylvania,2244,268,0,0,0.3,21,42,Large Suburban,0,282,0,0.065638944571530,0.000175494188107
42113960102,Census Tract 9601.02; Sullivan County; Pennsylvania,2005,0,0,0,17.2,42,42,Distant Rural,0,0,0,0.538657155485774,0.016479981103777
42025020302,Census Tract 203.02; Carbon County; Pennsylvania,3128,0,0,0,3.3,41,42,Fringe Rural,0,25,25,0.269120263391251,0.002517244567554
