category,count
Vegetable ,62
American and Chinese Special,62
Roll,62
Vegetables &amp; Tofu,62
Slush,61
Entree 主菜,61
Miscellaneous,61
Quarter Orders,61
Pork ,60
Pork (猪肉类),60
All Day Favorites,60
Vegetarian Delight,60
Vegetable and Bean Curd,60
Regular Roll or Hand Roll,60
Lunch Menu,60
Soups and Salads,59
Vegetable 蔬菜类,59
Beer,59
Sushi and Sashimi A La Carte,59
Chinese Dinner,59
Chow Mein and Chop Suey,59
Chicken 雞肉類,58
Curries,58
Mu Shu,58
Egg Foo Young 芙蓉蛋,57
Rolls (Makimono),57
Rolls,57
Milk Teas,57
Chinese Entrée,57
Special Sushi Rolls,57
Nigiri Sushi and Sashimi,57
Lunch Combo,57
Kid's Meal,57
Vegetarian Menu,56
Additional Protein and Vegetable,56
Pork 豬肉,56
From the Wok,56
Hibachi,56
Vermicelli,56
Rice Bowl,56
Kinja Special Rolls,56
Roll or Hand Roll,56
Bawarchi Biryanis,56
Lo Mein Noodles,56
Appetizers and Sides,55
More from the All Day Kitchens Family,55
Egg Foo Yung,55
Vegan,55
Hot and Spicy Dishes,55
Lo Mein 捞面,55
Sizzling Platters,55
Seafood (海鲜类),55
Lunch Entrees,54
Health Food Selection,54
Rice Plates,54
Lo Mein (Noodles),54
Chinese Combination Platters,54
Maki Rolls,53
Chicken 雞肉,53
Poultry Dishes,53
Pho Noodle Soup,53
Soup 湯類,53
Chefs Specials,53
Szechuan and Hunan Style,53
Ramen,53
Beverage ,53
Combo 套餐,53
Beef and Lamb 牛羊,53
Home Style Dishes 家常菜,53
Vegetables 素菜,53
Side Items,53
Drinks ,52
Steamed Dumplings &amp; Buns,52
Noodles Soup,52
Vegetables 蔬菜,52
Chef'S Special,52
Beef &amp; Pork,52
Combo Teriyaki,52
Over Rice,52
Stir Fry,52
Chinese Combo,51
點心 Dim Sum,51
Side orders,51
White Meat,51
Cold Dishes 凉菜,51
Chinese Appetizers,51
Dimsum,51
Chicken Entree,51
Chow Mein and Fried Rice,51
Cold Drinks,51
50 States Specialty Rolls,50
Fried Noodles,50
Duck,50
Chinese Chicken,50
Tofu 豆腐,50
Fried Rice &amp; Noodle,50
Popular Dishes,50
Family Style Meals,50
Japanese Appetizers,50
Coffee,50
Fuji Signature Roll,50
Soup ,50
Lunch special ,49
Appetizers and Side Orders,49
Drink 饮料,49
Traditional Chinese Dishes,49
Signature Roll,49
Black Teas,49
Asian Fusion,49
Diet Special,49
Soup 湯,48
Our Chef's Specials,48
Combo Plates,48
Sushi Appetizers,48
Udon,48
Slushies,48
Lunch Plates,48
A La Carte &amp; Sides,48
Sushi and Sashimi a La Carte,48
Traditional Rolls,48
Homestyle Dishes (家常小炒),47
Green Teas,47
Vegetable Entrees,47
Soft Drink,47
Chow Mein &amp; Fried Rice,47
Lunch Beef,47
Barbecue 纯碳烤,47
Shareables,46
Combination Plates Dinner,46
Noodle Soup 湯麵,46
Shrimps,46
Vegetable &amp; Bean Curd,46
Retail Products,46
Pork 猪,46
Hunan and Szechuan Style,46
Fish 鱼,46
Dinner Combination Plates,46
Asian Cuisine,46
Vegetables Entrees,46
Chicken and Duck (鸡鸭类),46
Tofu and Vegetable (豆腐及蔬菜),46
Moo Shi,46
Lo Mein 撈麵,46
Classic Sushi Rolls,46
Soup and Noodle Soup,45
Soft Noodles (Lo Mein),45
Special Combo,45
Dinner Specialties,45
SEAFOOD,45
Golden House Combination,45
Homestyle Dishes 家常小炒,45
Vegetarian Corner,45
Chicken (雞肉類),45
House Specialities,45
Special Sushi Roll,45
Vegetable Dish,45
Vegetable 素菜,45
Chicken &amp; Duck,45
Entree (Poultry),45
Prawns,44
Small Eat,44
Main Dish,44
Entrees 2 (On Land),44
"雞，鴨，牛，豬類 - Poultry,​​ Duck,​​ Beef,​​ Pork",44
Rolls and Hand Rolls,44
Chinese Entrees,44
Chinese Beef,44
Diet Mains,44
Chef's Specialties 廚師推薦,44
American's Favorite Chinese Food,44
Desserts &amp; Drinks,44
Oriental Cuisine,44
Combo Meal,44
FAMILY BUNDLE,43
Hot Sandwiches,43
Sushi Menu,43
Lunch Combinations,43
Classic Entrees,43
Szechuan Entree 川味主菜,43
Authentic Chinese Menu,43
Dinner Options,43
Smoothie,43
SALAD BOWLS,43
Wok,43
Family Style Entrees,43
Burgers,43
Regular Combos,43
Traditional,42
Chicken and Beef,42
Noodles and Rice Bowls,42
Combo Plate,42
Vegetarian's Corner,42
Tofu and Vegetables,42
Chef'S Specialties,42
Seafood (海鮮類),42
Appetizer 頭檯,42
Regular Dinners,42
Appetizers 开胃菜,42
Rice Dish,42
Everyday Specials,42
Dinner Special ,42
Signature Plates 招牌盘,42
Appetizers 头台,41
Special Combination Platter (With Chicken Fried Rice and Veg Egg Roll),41
Drinks 饮料,41
Pan Fried Noodle,41
Lunch Meals,41
Sushi Bar Appetizers,41
Combination Dishes,41
Main Entrees,41
Poultry ,41
Grill 烧烤,41
All Day Lunch Special,41
Noodles (面条),41
Vegetable &amp; Tofu,40
Add Ons,40
