category,count
Trays,22
Boba Tea and Slush,22
Sushi Regular Rolls and Hand Roll,22
Cold Appetizer,22
All Day Lunch Specials,22
Seafood Dinners,22
Snacks &amp; Starters,22
Poultry Entree,21
"Vegetable and Tofu (素菜,豆腐類)",21
House Spicy Roll,21
Combinaciones ,21
Pork 豬肉類,21
Chicken and Beef and Seafood,21
Special Suggestions,21
Szechuan &amp; Hunan Special,21
Grandmother Home Style Cooking,21
DINNER COMBINATION,21
Chicken Wings &amp; Daily Special,21
Fried Seafood,21
Uncle Tai Specialties,21
Stir-Fried Noodle,21
Hot Wok Special,21
Fried Rice/Lo-Mein,21
Bowls  ,21
Dinner Fried Rice,21
Vegetarian Selections,21
Tofu and Vegetable (豆腐蔬菜),21
Dinner / Chicken,21
Chinese Vegetarian Cuisine,21
Asia Noodle and Fried Rice,21
Dinner / Seafood,21
Appetizer (小吃),21
Non-Alcoholic,21
Fried Rice &amp; Noodle 炒饭及炒面,21
Szechuan Dishes,21
Tea Latte,21
Kitchen Entree,21
All Day Menu / Chicken,21
Coffee and Desserts and Drinks,21
Indo Chinese,21
SIDE ORDER,21
Indonesians Special Menu,21
House Specialities (Lunch),21
Beef (Chinese),21
Snack and Appetizers 小吃及前菜,21
Rice Entrées,21
Sushi or Sashimi (2 pcs),21
Vegetable Selections 素菜类,21
Non-Vegetarian Entrees,21
House Special Combination,21
Bamboo Special Roll,21
Chinese Menu - Appetizers,21
Pasta and Noodles,21
Appertizers,21
Fried Rice and Lo Mein and Chow Mein,21
Milk Tea ,21
Sashimi A La Carte,21
House Specialties 本樓特色菜,21
Soups 汤类,21
Rice &amp; Noodles (Traditional),21
Health Bowls,21
Hunan Szechuan Dishes,21
Taiwanese Cuisine 台灣特色,21
Party Platters*,21
Healthy Options,21
Soup (汤),21
Fried Rice/Lo Mein,21
Hunan Star Specialties,21
Cantonese Delicacies,21
Pho Vietnamese Noodle Soup,21
Grandma Specials,21
Special Combination Platters 组合特色拼盘,21
Combo Specials,21
Chef's Specialties 主厨特色,21
Boba Drinks,21
Chinese and Stir Fries,21
Regular House Entrees,21
Rice or Noodles,21
海​​鮮​​類​​ Seafood,21
Chinese American 美式經典,21
Chief Special,21
Dumplings and Noodles,21
點心 DimSum,21
Deluxe Dinner,21
Chinese Favorites,21
BBQ 烧烤,21
Chef's Special 厨师推荐,21
South Indian Specials,21
Dim Sum 点心,21
Mandarin and Szechuan Cuisine,21
Famous Dishes,21
Noodle Soup 汤面,20
Cakes,20
Entrees(Dinner),20
Chicken And Frog 雞,20
Sides and Add-Ons,20
Poultry 雞鴨,20
Chinese - Poultry,20
Mi Fun or Chow Fun or Pad Thai or Singapore Mi Fun,20
Chicken or Pork,20
Japanes Sushi Rolls,20
Chinese Poultry,20
Chef's Special Recommendations,20
Special Vermicelli Noodle Bowl,20
Soups 湯類,20
Fish &amp; Scallop,20
Traditional Szechuan Dishes,20
Main Course,20
鐵板，煲仔類​​ -​​ Hot​​ Plate​​ /​​ Hot​​ Pot,20
粥，​​ ​​ 湯麵類​​ -​​ Congee​​ &amp;​​ Noodle​​ Soup,20
Asian Street Noodles,20
White Meat..(白肉),20
Soft Noodle (Lo Mein),20
Rice Bowl Special,20
Chinese Chicken Entree,20
Chinese Chicken Combo,20
Sushi or Sashimi or Rolls - Sushi or Sashimi,20
Special sushi ,20
Chef Specialties (特色菜),20
Sushi &amp; Sashimi,20
B,20
Special Combo Meal,20
Fried Rice and Noodles (炒飯/炒麵),20
Duck &amp; Chicken,20
Beef - Lunch,20
Wall's Entrees,20
Chinese - Seafoods,20
Wine,20
Noodles Section 麵類,20
Vegetarian Entree,20
House Style Entree,20
"Soup
",20
House Specialities ,20
Best Deal,20
Lo mein,20
Chef's Specialties 厨师特选,20
Rice Varieties,20
Wok It Your Way,20
Chicken Wing Special,20
Chicken Combos,20
Tofu and Vegetable,20
Fusion Special Rolls,20
Rice Platters,20
Seafood (海鮮),20
Bun,20
Meat (Rice Not Included),20
Rice &amp; Noods,20
Chicken (雞),20
Nigiri Sushi ,20
Dinner Stir-Fry Entrees,20
K Plate,20
Appetizers‏,20
Chow Mei Fun 炒米粉,20
Beef and Pork House Specialties,20
Party Tray-Entree,20
Hunan Szechuan and Chef's Specials,20
Chow Mein &amp; Chow Foon ,20
Chef Specialty 厨师推荐,20
Seafood (Served with Steamed Rice),20
Hand Pulled Noodles House Specialty,20
Classic,20
Wok On Fire Special,20
Crushed Rice,20
Dinner Chicken,20
Add - Ons,20
Family Special,20
Cookie &amp; Small Pastry,20
Noodle Dishes 面食,20
Sushi Rolls &amp; Hand Rolls,20
Entrees(Lunch),20
Special Dinner Combinations 特别晚餐,20
Noodle 面条,20
Chef‘s Special,20
Orient House Specialty ,20
Madras Specialities,20
Fresh Organic Milk Series (Cold),20
QQ Tea House Iced Milk Tea/Drinks,20
Chef's Special Szechuan and Hunan Dishes 主廚特色川菜及湖南菜,20
American Menu,20
New Presentations 新菜色,20
Beverages To Go 饮料,20
Chinese Shrimp,20
Poultry (Chicken),19
Family Dinner Platter,19
American Chinese 美式中餐,19
Combination Platters Rice with Mains,19
Seafood and Fish,19
Chef's Special Recommendation,19
Mains 类似主食,19
Cooked Rolls,19
Chef Special 廚師推介,19
Vegetable Mushroom 蔬菜 和磨菇類,19
White Meat (Main Dishes),19
Dim Sum (Medium),19
Healthy Diet Dishes,19
Chicken and Poultry,19
Sushi Bowls,19
Chef's Special Dish,19
Chef' s Special Dish,19
"Fried Rice, Chow Mein, and Rice Noodles",19
Viet Kitchen (Ez Seafood &amp; Noodles),19
Tofu Dishes,19
Japanese Food,19
Vegan Chicken and Drumstick,19
North East Dishes,19
Chef Specialty Rolls,19
Chow Mein and Soup Noodles,19
"Fried Rice, Noodles, &amp; Chow Mein (shredded cabbage)",19
Authentic Chinese Stew,19
Party Trays..(7-8)..(多人份),19
Elite Entrees (蜀一精品小炒),19
Stone Pot Rice,19
Chinese Menu - Seafood,19
Iced Beverages,19
Special All Day Combination Platters,19
Casserole Dishes,19
Tempura Rolls,19
Noodle 粉面类,19
Fruit Tea and Slushy,19
Lunch Fried Rice,19
Rice Dishes (飯類),19
Appetizer From kitchen,19
Fried Noodles and Rice,19
Small Eats 小吃,19
Beef And Lamb,19
Lo Mein and Fried Rice,19
Poultry 鸡鸭肉,19
Beef / Lamb,19
Japanese Signature Rolls,19
Hibachi Grill,19
Appetizer (开胃菜),19
Party Platters,19
Chinese Entrees Dinner,19
Desserts &amp; Beverages,19
Sizzling,19
Chinese Food ,19
Vegetables 蔬菜 ,19
"Beef, Pork and Lamb",19
Vegetable &amp; Tofu (Traditional),19
Sushi Combinations,19
Chef Speciality,19
Phad Thai,19
Dim Sum(点心),19
Sushi and Sashimi 壽司及刺身,19
Vegetable＆Egg＆Tofu 蔬菜/鸡蛋/豆腐,19
Dinner Platters Combination,19
Appetizer - NonVeg,19
Vegetable Roll,19
Daily Specials,19
Chef's Specialties 本店招牌,19
Chinese Lo Mein,19
Chinese Bento Box Combination,19
Nigiri and Sashimi,19
PORK,19
Lunch Special Chinese Bento Box,19
Chicken &amp; Beef,19
Northern Dishes 北方料理,19
Chinese Menu - Chicken,19
Lo Mein and Chow Mein,19
Ice Cream,19
Chef Recommend,19
Chef's Special Rolls,19
Seafood Entrée,19
Lunch / Chicken,19
Lunch Specials A,19
Fried Noodles &amp; Rice (炒面米饭),19
Beef &amp; Lamb 牛羊类,19
Chinese Soup,19
Flat Noodle and Rice Noodle 河粉及米粉,19
Lunch Special / Luncheon Special,19
Entrées - Poultry,19
Speciality,19
Meat Curry,19
Chef's Special 主廚特色菜,19
Dinner Lo Mein,19
Japanese House Roll and Hand Roll,19
Stir Fried Vegetables,18
Appetizers (Lunch),18
Sushi or Sashimi A la Carte,18
新菜推荐,18
Pollo frito,18
Teriyaki Entrees,18
Daily Combo,18
Hometown Classic 老街美食,18
Mains 主食,18
Vegetarian Cuisine,18
Dairy and Non-Dairy,18
Chicken - Dinner,18
Thai Corner,18
Traditional Specials,18
Asian Small Plates,18
Entrées - Chicken,18
Beverages &amp; Desserts,18
"Pork, Beef, and Lamb ",18
Vegetable and Tofu 青菜豆腐,18
Combination Special-Shrimp,18
Bottled Drinks,18
Taiwanese Snack,18
Pan Acean Stir-Fry,18
Soups (汤),18
Nigiri (2pcs),18
Chicken House Specialties,18
Chop Suey 什碎,18
Chef Specialties ,18
American Dishes,18
Sushi a la Carte (2 Pieces) ,18
Poultry 鸡 鸭,18
Chinese Menu - Vegetarian Dishes,18
sauce,18
Seafood 鲜,18
Korean-Chinese Specials,18
Vermicelli and Noodles,18
Texas Meal,18
A La Carte Chicken Plates,18
Combination Special-Chicken,18
Broccoli,18
Party Trays ,18
Hibachi Specials,18
Rolls (Maki) and Handroll (Temaki),18
Beef and Lamb 牛羊类,18
Sushi Chef Specials,18
A,18
Soups &amp; Salad,18
Vegetables 時蔬素菜,18
Steamed Dim Sum 蒸点心,18
Weight Watchers Menu,18
Appetizer and Snack 小吃 / 头台,18
Stir-Fried,18
House Specialties - Szechuan Style,18
"Lamb, Beef and Seafood",18
RICE,18
Fried Specialties,18
DAILY SPECIAL,18
Authentic Chinese Menu ( A-la-carte ),18
Hunan Szechuan Specialities,18
Mian Dish(炒菜),18
Authentic Chinese,18
Gourmet Noodle,18
Vegetables 素菜类,18
Private Dishes,18
Korean Dishes,18
Side of Sauce,18
Egg Noodle 蛋麵,18
Noodles and Rice 面及饭,18
Healthy Vegetarian Dishes,18
Traditional Dinner,18
Chef's Specialties ,18
Chef's Special Two,18
Soup and Salads,18
"Fried Rice, Lo Mein, and Chow Fun",18
Lo Mein and Noodle,18
Rice Noodle 河粉,18
Chef's Specials Cantonese Dishes,18
Dinner Size of Lunch Specials,18
Frozen Drinks,18
Pork Dish,18
Lattes,18
Sushi or Sashimi or Rolls - Chef's Special Rolls,18
Family Style (Chicken),18
Steam Dim Sum (蒸點心),18
Beverages 飲品,18
Chef Specialty Roll,18
Beef＆Lamb 牛肉/羊肉,18
Egg foo young,18
Dishes - Veg,18
Congee 粥,18
Beef (Entree Dishes),18
Chicken (鸡),18
Dumpling 餃子,18
Tokyo Special Roll,18
Appetizers (头台),18
Dinner / Beef,18
Choose a Style,18
F,18
Flounder Fillet,18
Singapore Rice Noodle,18
Poultry (Dinner),18
Clay Hot Pot,18
Beef Entree,18
Rice Cake,18
Chicken &amp; Wing Dinner,18
Chef'S Suggestions,18
"Pan-Fried, Fried &amp; Congee",18
Pan-Fried Noodles,18
Kid's Meals,18
Seafood1,18
Special Items,18
Chicken (雞肉),18
Sashimi a la Carte (3 Pieces),18
Chicken (Whtie Meat Only),17
Pan Fried Instant Noodles,17
Appetizers/Shareables/Tapas. 小吃 (L),17
Sushi Combo,17
Chicken Dinner,17
Chicken Wings Special,17
Marinated Special 特色卤味,17
Chicken (鸡肉类),17
The Chinese Neighbor Best Sellers,17
Malaysian Entrees,17
Skillman Wok's House Special ,17
Dessert 甜点,17
Dumplings 饺子,17
Individual Combination Dinners,17
Stone Pot Congee,17
Burritos,17
Kid Menu,17
Dim Sum Any Time,17
Diet Specials,17
Wraps,17
Spring Rolls,17
Regular Rolls (8 Pieces),17
Vegetarian Roll,17
Seafood (Chinese),17
Stir Fried and Wok,17
Appetizers and Homemade food,17
Thai Style,17
Chicken (鸡肉) 🍗,17
Dim Sum and Appetizers (点心),17
Appetizers 開胃小菜,17
Mixed Vegetable or Tofu 蔬菜或豆腐,17
Chef's Specialties 传统川菜,17
To Fu,17
Seafood - E,17
Steamed Dim Sum,17
Vegetable (素菜類),17
Combination ,17
Nigiri (2 pcs),17
Thai Salads,17
Vegetable and Hot Pot,17
Chicken‎,17
Jasmine Special Roll,17
Rice Vermicelli,17
Chow Fun 炒河,17
Vegetables and Bean Curd,17
Beverages and Dessert,17
Roll / Hand Roll,17
House Special Selection 蓉城印象,17
Iced Smoothie (Slush),17
Poultry-Dinner,17
Vegan Section (素食),17
Beef- Dinner,17
Loose Leaf Tea,17
Bubble Tea &amp; Drink,17
"Fried Rice, Chow Mein, and Lo Mein (Lunch)",17
Gyozas,17
Sushi (2pc),17
Traditional Chinese Cuisine 傳統中式食物,17
Our Chefs Specialites,17
Chinese Bento,17
"Soft Drinks, Coffee &amp; Boba Tea",17
Aperitivos,17
Chinese Express,17
"Beef, Pork, and Lamb",17
À La Carte Dinners - Chicken,17
Desserts and Sweets,17
Chef's Special Suggestions,17
Veg &amp; Tofu,17
thirsty? (Drinks),17
Thai Fried Rice,17
Rice Wok's House Special,17
Meat Skewers,17
Noodles 精美面食,17
Appetizers and Cold Dishes,17
"Rice, Noodle, and Egg Foo Young",17
Slushes,17
Low Fat Low Calorie,17
Stir Fried Entrees,17
"Appetizer, Dumpling, &amp; Bao",17
Tofu &amp; Vegetable,17
Toppings,17
Meat Selection 火锅涮品•肉类,17
Szechuan Appetizers 川味小吃,17
Seafood (Main Dishes),17
Seafood Over Rice 海鲜盖饭,17
Fu Belly Chicken Combos,17
Chef's Specialities 厨师特别推荐,17
Chinese Corner,17
House Soups,17
"Rice, Noodles, and Noodle Soups",17
Traditional Taiwanese,17
No.1 Specialties,17
Pai Thai,17
Special ,17
Fish/Seafood,17
Cantonese Delight,17
Coffee-Tea-Dessert,17
Shrimp and Scallops,17
Specialty Entrees,17
"Nigiri Sushi
",17
Moo Shu Specialties,17
Extra Charge Choice,17
All Day Combination Special,17
Appetizer | Dim Sum,17
Fried Rice/Soft Noodles,17
Healthy Entrees,17
Vegetable and Tofu 素食,17
Imperial House Specialties,16
Gourmet Specialties,16
Seafood Entrée ,16
Specialty Roll,16
Appetizers 頭盤,16
Seafood and Specialties,16
Vegetarian Meat,16
Bao (single),16
Appetizer 小食,16
Noodle (面条),16
American Food,16
Vermicelli and Noodles 卤粉干拌面类,16
Drink 饮品,16
Japanese Nigiri Sushi and  Sashimi,16
Vegetable Delight,16
Vegetable Selections,16
Pho-Vietnamese Noodle Soup,16
Special Combo Chinese Food,16
HotPot-Meat,16
House Special Hot Spicy Pot (麻辣香锅),16
Red Meat (Served with Steamed Rice),16
Texas Size,16
Shrimp Entree',16
POULTRY MEAT &amp; FISH,16
Healthful Choices,16
Teriyaki Bowl,16
Special Diet Food Menu,16
Tofu Pudding,16
Biryanis,16
Bottle Drink,16
Appetizer and Salad,16
Milk Shake and Float,16
"Special Combination Plates （Served w. Fried Rice, Egg Roll）",16
What's New,16
BBQ Special (come w white rice No Substitution)(Bone-in)(B.B.Q. item may sold out a hour before we close)or please call first,16
Dinner House Specials,16
什菜/豆腐類​​ -​​ Vegetable​​ &amp;​​ Tofu,16
Mandarina Fried Rice,16
Chef's Secialities,16
Beef (牛),16
Soups‎,16
Chef's Special (主厨推荐 ),16
Authentic Szechuan,16
Beverages饮料,16
Poke Bowl,16
Fried Rice and Lo Mein (Noodle),16
Chinese Menu - Family Dinner,16
Bean Curd (Tofu),16
Shrimp &amp; Shellfish,16
Punch,16
Shrimp - Dinner,16
Appetizer &amp; Cold Plates,16
Fried Rice And Lo Mein主食,16
Poultry (Traditional),16
Bebidas,16
Dim Sum Menu 点心菜单,16
Hong Kong Style Noodle Soup,16
Chef's Special 主厨推荐 ,16
Dumpling and Noodle,16
Appetizer &amp; Soup,16
Hardwok Special,16
Sides and Extra Sauce,16
Dry Noodle and Flat Noodles,16
Grandma's Soups,16
Lo Mein (Soft Noodles) Combos,16
Szechuan,16
Starters..(开胃菜),16
Quart Order,16
Noodles and Rice 麵粉飯,16
Party Size,16
Gluten-Free Menu,16
Boba Tea,16
Teriyaki ,16
Oh! Pizza (Non-Veg),16
Chef Recommends,16
Pimmy's Seafood,16
Party Catering,16
Family Dinner Combos,16
Chef's Speciality,16
Special Health and Diet Menu,16
"Lo Mein, Chow Mein, and Mei Fun",16
Dinner Entrees ,16
Lunch Special ,16
Pho Beef Noodles,16
Ice Smoothie and Iced Flavor Tea 冰茶及冰沙類,16
Fruit Tea 鮮果茶系列,16
Sushi or Sashimi,16
Lamb 羊肉,16
Thai Styles,16
Chef's Recommendations 主廚推薦,16
Chefs Specialties ( w. Rice ) ,16
Extra Sauce ?,16
Classic American,16
Entree ,16
Everyday Special,16
Indian Entrees,16
Mutton/ Lamb Entrees,16
Lunch / Beef,16
Egg Foo Young (芙蓉蛋),16
Chinese​ ​Dishes,16
Thai Noodles,16
Yak,16
Indonesian Entrees,16
Hunan Specialties,16
Rolls and Spicy Rolls (6 pcs),16
Shrimp Combo,16
Roll &amp; Temaki,16
Fresh Organic Milk Series (Hot),16
Nigiri &amp; Sashimi,16
Cantonese Seafood 粵菜海鮮,16
Wok Entrees,16
Authentic Chinese Stir Fry Pork,16
Soups with Hand Pulled Noodle,16
Appetizers (Kitchen),16
Entrées - Vegetables,16
Pork 肉類,16
Beef 牛類,16
Pork猪肉类,16
Chinese Egg Foo Young,16
Egg Noodle or Rice Noodle,16
American Hot Sandwiches,16
Egg &amp; Rice Noodle Soup,16
Japanese Ramen Soup or Pan Fried,16
Vegetables (素菜),16
Beef (Flank),16
Entrees 主餐,16
Lunch Combination Platters,16
Our Special Suggestions,16
Combination Meals,16
Signature Chinese Style Barbecue,16
Sauce &amp; Special Request,16
Chef's Specialties (With Steamed Rice),15
"PAN FRIED RICE NOODLES,FLAT NOODLE &amp; LO MEIN",15
Chef Special Dishes,15
Teriyaki &amp; Chinese Combo,15
Chicken &amp; Pork,15
HotPot-Tofu and Others,15
Party and Catering,15
Chow Ho Fun,15
Children Menu,15
E,15
Appetizers 坤拉面小吃,15
Xiao Long Bao/Steamed Dumplings/Golden Potstickers,15
FRIED RICE,15
Rice 饭类,15
Chow Fun and Mei Fun,15
Appetizers 開胃小吃,15
Shrimp 蝦,15
Tofu and Vegetable Combos,15
Appetizer (前菜/冷盘),15
Appetizer 凉菜,15
Lo Mein Rice Noodle,15
Poultry Over Rice 禽类盖饭,15
Classic Taiwanese Street Food 台灣小吃,15
BAO,15
Beef Combo,15
Soup / Salad,15
Noodle 面食,15
Chinese Vegetable,15
Extra Protein/Side Orders/Sauce,15
American,15
Dim Sum (Small),15
Lunch - Appetizers,15
Chef's Special 主厨特色,15
Dinner Sides,15
Taipei's Traditional Favorites,15
Bottled Drinks (500ml),15
Pork &amp; Beef,15
Pork (豬),15
Vegetables and Dieters Choice,15
Cold Dish 涼菜,15
Chicken (Ga),15
Egg Fu Yung,15
Seafood Entres,15
Cooked Roll,15
Seafood ( w.Rice ),15
Shrimp and Fresh Vegetables,15
Vegetable and Tofu 蔬菜及豆腐,15
Fish &amp; Seafood,15
Biang Noodles 裤带干面,15
Sushi and Sashimi ,15
Fish Fillet and Shrimp 鱼片、虾,15
Thai Noodle,15
Cold Plates,15
D,15
Starters and Sides,15
Fried Rice Bowls,15
Shrimp and Seafood,15
Hunan Garden Specialties,15
Sushi Maki Roll,15
Rice &amp; Noodle ,15
Appetizer from Kitchen,15
Non-Alcoholic Beverages,15
Nigiri Sushi (Sushi Menu),15
Chinese Entrees - Chicken,15
Breakfast 早餐,15
Fried Chicken Special,15
Vegetarian Meals,15
Sizzling Plates,15
Chef's Special One,15
Szechuan Style Cuisine (spicy),15
Beef (牛肉) 🥩,15
Rice 饭,15
Appetizer &amp; Cold Plate,15
Dim Sum Steamed (available before 3pm),15
Dim Sum Baked or Fried (available before 3pm),15
Signature Mama Dough Dishes,15
Indonesian Specialties,15
Fired Rice &amp; Noodle,15
Vegetarian Dished,15
Rice &amp; Noodles..(饭/面),15
Lo Mein and Mei Fun,15
Moo Shu Style,15
Soup and Noodles,15
Sushi (Nigiri),15
Beef-Dinner,15
Authentic Chinese Rice / Noodles,15
Chef's Special Entree,15
Chef's Special Combo,15
Dumpling 水餃,15
Chinese Chefs Specialties,15
Vegetables/ 鲜蔬类,15
Northern Style Dim Sum,15
Chef Special 厨师推介,15
Seafood-Dinner,15
All Day Special (Choose One Soup) ,15
Food,15
Kung Pao,15
NEW: Sushi,15
Vegetable Plates,15
Yakisoba or Yakiudon or Udon (Soup),15
A la Carte Sushi Sashimi,15
Teriyaki Bowl &amp; Sushi Roll,15
Soups &amp; Salads,15
House Specials (Quart),15
Oh! Pizza (Veg),15
Gourmet Dishes,15
Fowl,15
Sauce 小料,15
Steamed 蒸蒸日上,15
Skillman Wok's House Special,15
Rice and Noodle Bowls,15
"Chicken
",15
Fried Rice and Lo Mein and Rice Noodle,15
Fried Rice / Noodles,15
Rice Specials,15
Farmer’s Stir-Fry 农家小炒,15
Beverages 饮品,15
Teriyaki Rice Plate,15
Poultry Dish,15
Submarine Sub,15
Subgum Chow Mein (with Noodles) OR Chop Suey (with steam rice),15
Authentic Chinese Cuisine Meat,15
OL Soda &amp; Juices,15
Dinner Vegetables,15
廚房製造  Kitchen Specials,15
Crispy Noodle 炒面,15
Diet Favorites,15
Kisso Signature Dish,15
Soft Drinks and Water,15
Handmade Dumplings,15
Pan Fried or Soup Udon Noodle,15
Soup 湯羹類,15
Yunnan Bridge Noodles,15
Dinner Plates,15
Seafood Boils (Mini Combo),15
Hand Made Dumplings,14
Dumpling &amp; Noodle,14
Jumbo Shrimp,14
Chinese Vegetables,14
Lunch - Beef,14
素食(Vegetarian),14
Lo Mein or Mein Fun,14
"Tofu, Noodles, and etc",14
beef (come w white rice No Substitution),14
Small Plates and Samplers,14
Pan-Fried and Stir-Fried Noodles,14
Chow Mein (with Noodles) or Chop Suey (with steam rice),14
Q's Favorites,14
Savory Snacks &amp; Starters,14
Rice and Noodle Dishes,14
Yakult Drink,14
Dishes with Vegetables,14
Poultry (Come with Steam Rice ),14
Rice and Congee,14
Asian Delight 點心小菜,14
Fried Rice/Yakisoba,14
Starter/Special,14
Mandarin and Hunan,14
Thai Dinner Entrees,14
Vietnamese Cuisine Pho,14
Soft Drinks &amp; Dessert,14
Vietnamese - Pho Noodle Soup,14
Veggie Dishes,14
Mein Fun (Rice Noodles),14
Stir Fried Dishes,14
Oriental Noodle Soup,14
Bevarages,14
Pork and Beef (Lunch),14
Sushi or Sashimi or Rolls - Regular Rolls,14
King Food Specialties,14
Chef's Recommendation 到店必点,14
House Special Dinners,14
Appetizer/Salad,14
Stir-Fried Dishes (Served with white rice),14
Rice Plate,14
Noodle Bowls &amp; Rice Entrees,14
Batter Frying,14
Chow Fun and Mein,14
Pork Noodle Soup,14
Red Wine,14
Egg and Rice Noodle Soup,14
Side Order and Drink Order,14
Seafood..(海鲜),14
Mei Fun or Hong Kong Chow Mein,14
Appetizers for Kitchen,14
Kitchen Entrée,14
Children's Mains,14
"Combinaciones con pollo (Arroz chino , papas fritas y carne )",14
Appetizers-A,14
Chef Special 主厨推荐,14
Rice &amp; Noodles (飯/麵),14
Traditional Cuisine,14
Authentic Vegetables 蔬菜,14
Noodles and Noodle Soup,14
Side Item,14
Bento Meals,14
Fried Rice or Egg Foo Young,14
Flat Noodle or Rice Noodle,14
Catering Menu,14
Cantonese Chow Mein  (Lo Mein,14
Vegetable (Chinese),14
Fried rice,14
Lunch / Shrimp,14
Shareables ,14
Combo ,14
Signature,14
Chicken Combination Platters,14
Wok-Chicken,14
Indo Chinese Specialties,14
Chicken-C,14
Individual Combo,14
Topping Only,14
House Specials 特色,14
Types oOf Rolls,14
Beef and Lamb 牛 羊,14
Street Foods of Sichuan 四川小吃,14
Flavor Snack,14
Dinner Shrimp,14
Coconut Jelly,14
Fried Dim Sum 煎炸点心,14
Raw Rolls,14
Skinny Rice Noodle (Chow Mei Fun),14
Entree Order,14
Deep Fried and Baked Dim Sum (酥皮煎炸焗),14
Vietnamese Cuisine - Hu Tieu Mi (Egg &amp; Rice Noodle Soup),14
Chicken (large size),14
Special Combinations,14
Beverages 飲料,14
Shrimp Dinner,14
Spicy Hot Dishes,14
Vietnamese Beef Noodle Soup 越南河粉,14
Chicken Special Combination Combo Platters,14
Others,14
Entrees 16 oz Bowl,14
Rice and Noodles 粉面饭,14
Add,14
Vegetable and Bean Curd (come w white rice No Substitution),14
Plates with Rice or Noodles,14
Authentic Chinese Stir Fry Vegetables,14
"Frozen Dumplings, Pancake and Baos",14
Stir Fried Noodles / Vermicelli / Chinese Pancake Slices,14
Chinese Dinners,14
Ramen with Combo,14
Rice / Lo Mein,14
House Special Combination Plate,14
Seafood - 海鮮類,14
Asain Menu  ***Buffet dine in open now!!!***,14
Chang's Special,14
New Specials,14
Beef (Traditional),14
Early Bird - Appetizers,14
Stir Fried Vermicelli,14
Fried Rice &amp; Rice Dishes ,14
Noodles-Soup-Pho,14
Side Dish 小菜,14
Fried Rice Chow Mein and Noodle Soup 炒面炒饭汤面 ,14
"Noodle, Chow Foon or Vermicelli 粉麵類",14
Full Yum House Special,14
Chicken Mains,14
Pork (猪肉),14
Korea Chinese Style Foods,14
Sushi Entrees,14
Beef Combos,14
Main Menu,14
Signature Drinks 特色飲品,14
Beverages🥤,14
Seafood🍤,14
Chicken🍲,14
Chinese &amp; House Special,14
Soup and Stew,14
Chef's Selections(all meals comes with steamed rice),14
Chef's Special 厨王推介,14
Flat Noodle 炒河粉,14
Extra Condiments,14
Sodas,14
Chicken (with Steamed Rice),14
Bubble Milk Tea 珍珠奶茶,13
Dragon Palace Specials,13
Sides &amp; Extras,13
Sashimi (6pcs),13
Steamed Diet Menu,13
Chef's Special From Kitchen ,13
House Specialty Dishes,13
Noodle and Rice Noodle,13
Fried Noodle (炒面),13
Vegetables Dishes,13
"Lo Mein, Chow Fun, and Rice Noodle",13
Vegan Shrimp ,13
Vegetable Corner &amp; Revolution Diet,13
Chow Mein &amp; Lo Mein,13
drinks,13
Chow Mein &amp; Chow Fun,13
Vegetables Over Rice 蔬菜盖饭,13
Combination Rice Platters,13
Most Popular ,13
Dinner Menu / Seafood,13
Dinner Menu / Poultry,13
"Noodles, Rice Noodles and Yat 面米粉及汤面",13
House Special Fried Rice,13
Chef’s Special Seafood,13
Special Entrees,13
Wu's Asian Bistro Best Sellers,13
China Town Restaurant Best Sellers,13
Best Soup ,13
Seafood Specials,13
NOODLES &amp; RICE,13
Special Cantonese Dishes,13
Bottle Drinks,13
Chinese Entree - Poultry,13
Noodle in Soup,13
Rice/Noodles 炒饭/炒面,13
Sauce 蘸料,13
Hand Made Noodles 手工面条,13
Family Style (Seafood),13
Chinese Entrees Seafood Combo,13
Chinese Seafood Entrees,13
Shaanxi Snacks,13
Classic Rolls (Sushi),13
Sushi and Sashimi Specialties 壽司及刺身特色,13
Little and Senior Friends,13
Noodles or Fried Rice,13
Chef's Special - D,13
Extra or Side,13
Lunch Menu / Chicken Luncheon Specials,13
Appetizer - 頭 檯,13
Appetizers &amp; Side,13
Raw Roll,13
Jin’s Garden Special,13
Z's Special,13
Szechuan Style ,13
Crunchy Noodles,13
Wok Express,13
Vegetables - K,13
Tandoor,13
Fried Rice and Noodles 炒饭及炒面,13
Chicken Entrées (鸡肉类),13
Shanghainese House Specials,13
Noodle Soup 汤面类,13
Seasonal Special,13
Beverages (Soft Drink),13
Weight Watchers Delight,13
Thai and Vietnamese Food,13
Taiwanese Traditional Appetizers ,13
Seafood‎,13
Beef‎,13
Appetizer - Veg,13
Best Wok Specials,13
Macarons,13
Noodle or Rice Soup,13
Chinese Stir-Fry,13
BEVERAGE,13
Casserole 煲,13
Tofu and Mushroom 豆制品菌类,13
Fresh Made Coconut Jelly in a Jar (椰子冻罐罐),13
Others 其他,13
Chinese &amp; Thai Entrees - Lunch,13
Soups / Kid's Meal,13
Poultry ( w. Rice ),13
Rice and Noodles (主食),13
Beverages (饮料),13
Sides - A La Carte,13
Fried Noodle and Chow Foon,13
Stylized Rice,13
Signature Entrees,13
Appitizers,13
Large Plates,13
Fried Rice or Noodle,13
Rice and Noodles 饭及面,13
Vegan Menu,13
Hunan Vegetarian Selection,13
Mei Fun (Thin Rice Noodles),13
頭檯  Appetizer,13
